index,title,last_name,first_name,date,translation/adaptation/contrastive,num_acts,url,num_present_characters,num_scenes_text,num_scenes_iarkho,speech_distribution,percentage_monologues,percentage_duologues,percentage_non_duologues,percentage_above_two_speakers,av_percentage_non_speakers,sigma_iarkho,number_scenes_with_discontinuous_change_characters,percentage_scenes_with_discontinuous_change_characters,total_utterances,num_verse_lines,dialogue_vivacity,five_year_intervals,decades
F_172,Le Bienfait rendu ou le Négociant,Dampierre de la Salle,,1763,0,5,,12,36,39,"[[ 1  6]
 [ 2 14]
 [ 3 10]
 [ 4  7]
 [ 5  2]]",15.38,35.9,64.1,48.72,13.419,1.1,3,7.692,,,,1765,1770
F_91,Les Nobles de Province,Hauteroche ,"Noël Lebreton, sieur de",1678,0,5,http://www.xn--thtre-documentation-cvb0m.com/content/h-0?q=node/388,19,75,76,"[[ 1 13]
 [ 2 29]
 [ 3 22]
 [ 4  7]
 [ 5  4]
 [ 9  1]]",17.11,38.16,61.84,44.74,14.081,1.281,4,5.263,,,,1680,1680
F_246,Les Capitulations de conscience ,Picard,Louis-Benoît ,1809,0,5,,14,45,55,"[[ 0  1]
 [ 1 10]
 [ 2 27]
 [ 3 10]
 [ 4  5]
 [ 5  2]]",18.18,49.09,50.91,30.91,9.069,1.031,3,5.455,,,,1810,1810
F_187,L'Égoïsme,Cailhava D'Estendoux,Jean-François ,1778,0,5,http://www.theatre-classique.fr/pages/documents/CAILHAVA_EGOISME.xml,12,54,53,"[[ 1 11]
 [ 2 26]
 [ 3 10]
 [ 4  4]
 [ 7  2]]",20.75,49.06,50.94,30.19,6.619,1.24,4,7.547,737,1487,0.496,1780,1780
F_114,Le Capricieux ou les Apparences trompeuses,Rousseau,Jean-Baptiste,1700,0,5,,8,33,37,"[[ 1 10]
 [ 2 16]
 [ 3  9]
 [ 5  1]
 [ 6  1]]",27.03,43.24,56.76,29.73,3.604,1.078,2,5.405,,,,1700,1700
F_97,Le Parisien,Champmeslé,,1682,0,5,,11,49,58,"[[ 1 10]
 [ 2 22]
 [ 3 14]
 [ 4 10]
 [ 5  2]]",17.24,37.93,62.07,44.83,12.011,1.071,3,5.172,,,,1685,1690
F_120,Madame Artus,Dancourt,,1708,0,5,http://www.theatre-classique.fr/pages/documents/DANCOURT_MADAMEARTUS.xml,10,47,47,"[[ 1  7]
 [ 2 18]
 [ 3 13]
 [ 4  4]
 [ 5  4]
 [ 7  1]]",14.89,38.3,61.7,46.81,6.862,1.276,3,6.383,851,1770,0.481,1710,1710
F_297,Le Bourgeois anobli ,Rey,Charles,1847,0,5,,10,66,67,"[[ 1 11]
 [ 2 31]
 [ 3 16]
 [ 4  4]
 [ 5  3]
 [ 6  1]
 [ 8  1]]",16.42,46.27,53.73,37.31,11.26,1.262,4,5.97,,,,1850,1850
F_128,La Réconciliation Normande        ,Du Fresny,Charles ,1719,0,5,http://www.theatre-classique.fr/pages/documents/DUFRESNY_RECONCILIATIONNORMANDE.xml,10,49,51,"[[ 1  8]
 [ 2 21]
 [ 3 16]
 [ 4  3]
 [ 5  2]
 [ 7  1]]",15.69,41.18,58.82,43.14,6.993,1.144,2,3.922,774,1503,0.515,1720,1720
F_291,Le Ver rongeur,Grille,François-Joseph,1839,0,5,,23,71,73,"[[ 0  1]
 [ 1 11]
 [ 2 33]
 [ 3 18]
 [ 4  8]
 [ 5  2]]",15.07,45.21,54.79,38.36,9.11,1.0,8,10.959,,,,1840,1840
F_166,L’Archi-menteur ou le vieux fou dupé,Néricault Destouches,,1757,0,5,http://www.xn--thtre-documentation-cvb0m.com/content/l%E2%80%99archi-menteur-destouches,8,47,47,"[[ 1  4]
 [ 2 17]
 [ 3 14]
 [ 4  8]
 [ 5  2]
 [ 6  2]]",8.51,36.17,63.83,55.32,7.199,1.185,1,2.128,,,,1760,1760
F_133,Les Philosophes amoureux,Néricault Destouches,,1729,0,5,http://www.xn--thtre-documentation-cvb0m.com/content/les-philosophes-amoureux-destouches,11,44,47,"[[ 1 15]
 [ 2 17]
 [ 3  8]
 [ 4  4]
 [ 6  1]
 [ 7  2]]",31.91,36.17,63.83,31.91,6.658,1.46,4,8.511,,,,1730,1730
